Plant Name,Image File Name,Source URL,Status
Apricot Mallow,Apricot_Mallow.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Sphaeralcea-ambigua-detail.jpg/960px-Sphaeralcea-ambigua-detail.jpg,Downloaded
Desert Marigold,Desert_Marigold.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Calendula_January_2008-1_filtered.jpg/960px-Calendula_January_2008-1_filtered.jpg,Downloaded
Evening Primrose,Evening_Primrose.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Oenothera_biennis%2C_Vic-la-Gardiole_01.jpg/960px-Oenothera_biennis%2C_Vic-la-Gardiole_01.jpg,Downloaded
Sand Verbena,Sand_Verbena.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Abronia_fragrans_25461794.jpg/960px-Abronia_fragrans_25461794.jpg,Downloaded
Beach Evening Primrose,Beach_Evening_Primrose.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/11555/large.jpg,Downloaded
California Phacelia,California_Phacelia.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Phacelia_tanacetifolia_in_bloom%2C_Souris%2C_PEI%2C_July_2025.jpg/960px-Phacelia_tanacetifolia_in_bloom%2C_Souris%2C_PEI%2C_July_2025.jpg,Downloaded
Blue Phacelia,Blue_Phacelia.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Phacelia_tanacetifolia_in_bloom%2C_Souris%2C_PEI%2C_July_2025.jpg/960px-Phacelia_tanacetifolia_in_bloom%2C_Souris%2C_PEI%2C_July_2025.jpg,Downloaded
Whispering Bells,Whispering_Bells.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Emmenanthe_penduliflora_inflorescences_2004-05-17.jpg/960px-Emmenanthe_penduliflora_inflorescences_2004-05-17.jpg,Downloaded
Fiesta Flower,Fiesta_Flower.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Pholistoma_racemosum.jpg,Downloaded
Biscuitroot,Biscuitroot.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Lomatium_piperi_%285902040310%29.jpg/960px-Lomatium_piperi_%285902040310%29.jpg,Downloaded
Blue Larkspur,Blue_Larkspur.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c0/Delphinium_grandiflorum_472.jpg,Downloaded
Scarlet Larkspur,Scarlet_Larkspur.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8e/Delphiniumcardinale.jpg,Downloaded
Soap Plant,Soap_Plant.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Soap_Plant_Wacko_Entrance_2016.jpg/960px-Soap_Plant_Wacko_Entrance_2016.jpg,Downloaded
Paper Wild Onion,Paper_Wild_Onion.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Wild_Leeks6.jpeg/960px-Wild_Leeks6.jpeg,Downloaded
Harvest Brodiaea,Harvest_Brodiaea.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d8/Brodiaea_californica_ssp_leptandra_1.jpg,Downloaded
Mission Bells,Mission_Bells.jpg,https://upload.wikimedia.org/wikipedia/commons/6/68/Fritillaria_meleagris0.jpg,Downloaded
Adobe Lily,Adobe_Lily.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Fritillaria_striata_%28striped_adobe_lily%29_%2832653193446%29.jpg/960px-Fritillaria_striata_%28striped_adobe_lily%29_%2832653193446%29.jpg,Downloaded
Death Camas,Death_Camas.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Toxicoscordion_venenosum_-_Craig_Martin_01.jpg/960px-Toxicoscordion_venenosum_-_Craig_Martin_01.jpg,Downloaded
